startingAirport,destinationAirport,flightDate,totalFare,segmentsDepartureTimeRaw,segmentsArrivalTimeRaw
ATL,EWR,2022-04-25,298.6,2022-04-25,2022-04-25
ATL,EWR,2022-04-26,140.59,2022-04-26,2022-04-26
ATL,EWR,2022-04-27,103.6,2022-04-27,2022-04-27
ATL,EWR,2022-04-28,103.6,2022-04-28,2022-04-28
ATL,EWR,2022-04-29,103.6,2022-04-29,2022-04-29
ATL,EWR,2022-04-30,82.59,2022-04-30,2022-04-30
ATL,EWR,2022-05-01,137.6,2022-05-01,2022-05-01
ATL,EWR,2022-05-02,88.6,2022-05-02,2022-05-02
ATL,EWR,2022-05-03,82.59,2022-05-03,2022-05-03
ATL,EWR,2022-05-04,30.69,2022-05-04,2022-05-04
ATL,EWR,2022-05-05,61.97,2022-05-05,2022-05-05
ATL,EWR,2022-05-06,88.6,2022-05-06,2022-05-06
ATL,EWR,2022-05-07,97.6,2022-05-07,2022-05-07
ATL,EWR,2022-05-08,162.6,2022-05-08,2022-05-08
ATL,EWR,2022-05-09,137.6,2022-05-09,2022-05-09
ATL,EWR,2022-05-10,30.69,2022-05-10,2022-05-10
ATL,EWR,2022-05-11,30.69,2022-05-11,2022-05-11
ATL,EWR,2022-05-12,61.97,2022-05-12,2022-05-12
ATL,EWR,2022-05-13,74.78,2022-05-13,2022-05-13
ATL,EWR,2022-05-14,90.16,2022-05-14,2022-05-14
ATL,EWR,2022-05-15,82.59,2022-05-15,2022-05-15
ATL,EWR,2022-05-16,42.79,2022-05-16,2022-05-16
ATL,EWR,2022-05-17,61.97,2022-05-17,2022-05-17
ATL,EWR,2022-05-18,30.69,2022-05-18,2022-05-18
ATL,EWR,2022-05-19,42.79,2022-05-19,2022-05-19
ATL,EWR,2022-05-20,61.97,2022-05-20,2022-05-20
ATL,EWR,2022-05-21,42.79,2022-05-21,2022-05-21
ATL,EWR,2022-05-22,112.59,2022-05-22,2022-05-22
ATL,EWR,2022-05-23,112.59,2022-05-23,2022-05-23
ATL,EWR,2022-05-24,30.69,2022-05-24,2022-05-24
ATL,EWR,2022-05-25,42.79,2022-05-25,2022-05-25
ATL,EWR,2022-05-26,90.68,2022-05-26,2022-05-26
ATL,EWR,2022-05-27,133.58,2022-05-27,2022-05-27
ATL,EWR,2022-05-28,92.78,2022-05-28,2022-05-28
ATL,EWR,2022-05-29,170.59,2022-05-29,2022-05-29
ATL,EWR,2022-05-30,221.58,2022-05-30,2022-05-30
ATL,EWR,2022-05-31,140.59,2022-05-31,2022-05-31
ATL,EWR,2022-06-01,95.16,2022-06-01,2022-06-01
ATL,EWR,2022-06-02,61.97,2022-06-02,2022-06-02
ATL,EWR,2022-06-03,82.59,2022-06-03,2022-06-03
ATL,IAD,2022-04-17,258.6,2022-04-17,2022-04-17
ATL,IAD,2022-04-18,211.6,2022-04-18,2022-04-18
ATL,IAD,2022-04-19,191.6,2022-04-19,2022-04-19
ATL,IAD,2022-04-20,191.6,2022-04-20,2022-04-20
ATL,IAD,2022-04-21,191.6,2022-04-21,2022-04-21
ATL,IAD,2022-04-22,191.6,2022-04-22,2022-04-22
ATL,IAD,2022-04-23,183.6,2022-04-23,2022-04-23
ATL,IAD,2022-04-24,183.6,2022-04-24,2022-04-24
ATL,IAD,2022-04-25,183.6,2022-04-25,2022-04-25
ATL,IAD,2022-04-26,172.6,2022-04-26,2022-04-26
ATL,IAD,2022-04-27,172.6,2022-04-27,2022-04-27
ATL,IAD,2022-04-28,172.6,2022-04-28,2022-04-28
ATL,IAD,2022-04-29,172.6,2022-04-29,2022-04-29
ATL,IAD,2022-04-30,172.6,2022-04-30,2022-04-30
ATL,IAD,2022-05-01,151.6,2022-05-01,2022-05-01
ATL,IAD,2022-05-02,88.6,2022-05-02,2022-05-02
ATL,IAD,2022-05-03,88.6,2022-05-03,2022-05-03
ATL,IAD,2022-05-04,88.6,2022-05-04,2022-05-04
ATL,IAD,2022-05-05,88.6,2022-05-05,2022-05-05
ATL,IAD,2022-05-06,151.6,2022-05-06,2022-05-06
ATL,IAD,2022-05-07,88.6,2022-05-07,2022-05-07
ATL,IAD,2022-05-08,151.6,2022-05-08,2022-05-08
ATL,IAD,2022-05-09,108.6,2022-05-09,2022-05-09
ATL,IAD,2022-05-10,88.6,2022-05-10,2022-05-10
ATL,IAD,2022-05-11,88.6,2022-05-11,2022-05-11
ATL,IAD,2022-05-12,88.6,2022-05-12,2022-05-12
ATL,IAD,2022-05-13,140.6,2022-05-13,2022-05-13
ATL,IAD,2022-05-14,88.6,2022-05-14,2022-05-14
ATL,IAD,2022-05-15,191.6,2022-05-15,2022-05-15
ATL,IAD,2022-05-16,116.1,2022-05-16,2022-05-16
ATL,IAD,2022-05-17,88.6,2022-05-17,2022-05-17
ATL,IAD,2022-05-18,88.6,2022-05-18,2022-05-18
ATL,IAD,2022-05-19,108.6,2022-05-19,2022-05-19
ATL,IAD,2022-05-20,148.1,2022-05-20,2022-05-20
ATL,IAD,2022-05-21,108.6,2022-05-21,2022-05-21
ATL,IAD,2022-05-22,165.61,2022-05-22,2022-05-22
ATL,IAD,2022-05-23,126.1,2022-05-23,2022-05-23
ATL,IAD,2022-05-24,88.6,2022-05-24,2022-05-24
ATL,IAD,2022-05-25,88.6,2022-05-25,2022-05-25
